steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
40000	1757	367.8236961364746	137.155	168.5	100.30211135720707	282.0	-124.0	1.2142725606857405	2.059068458926642
40513	1779	373.68539690971375	142.885	170.0	93.51167811949274	276.0	-122.0	1.1349893499100252	2.2665522754118723
41014	1814	376.5567774772644	128.13	160.0	111.24323975846711	275.0	-124.0	0.8728256191323132	2.1233754228127446
41512	1836	380.823438167572	126.145	158.5	107.57586536507725	278.0	-122.0	0.9812064374562406	2.2295971125429577
42013	1870	385.2473027706146	123.105	151.5	105.8542848594972	281.0	-122.0	1.1027472345267844	2.0542737559154762
42513	1895	388.876935005188	140.29	171.5	101.03134445712415	285.0	-118.0	1.1263161348589383	2.246947762487179
43013	1925	395.1984558105469	130.375	145.0	99.48391640418856	282.0	-110.0	1.244859212070075	2.0949712602751704
43502	1951	399.81254053115845	130.63	159.0	106.08948105231616	281.0	-124.0	1.090999250977048	2.262683019951125
44002	1977	408.0203068256378	116.375	133.5	107.47772645258684	281.0	-120.0	1.156186705743461	2.15685723783477
44512	2012	411.06995916366577	129.645	155.5	101.19342628161705	282.0	-124.0	1.1268407691525828	2.036947368426231
45013	2038	416.99927163124084	125.325	156.0	106.91244421788895	282.0	-132.0	1.147209391424616	2.167530609544011
45503	2073	421.2333114147186	131.445	153.5	99.15992349299025	278.0	-122.0	1.1943397559786375	2.0843674912252763
46020	2106	423.6990535259247	129.6	160.5	108.09706228372656	281.0	-112.0	1.2051534010824376	2.088067158647852
46517	2132	427.571564912796	138.64	163.0	98.76738012564888	282.0	-124.0	0.9676581089237569	2.0743154677104263
47011	2170	432.69663763046265	128.11	156.5	107.33612213778682	278.0	-120.0	1.0355778026539897	2.1726523397864472
47514	2203	437.1250159740448	128.565	160.5	108.84328217844629	284.0	-124.0	1.1327553991220924	2.014127814942279
48018	2223	437.33015537261963	142.525	177.0	102.20990017345353	279.0	-122.0	1.15992972161807	2.101022887840334
48504	2246	446.7635610103607	128.925	153.5	104.04318476710722	285.0	-118.0	1.2119747527096865	2.0813960912075786
49004	2277	448.3631715774536	137.42	171.0	106.02025785375587	280.0	-116.0	1.1274371537182155	2.1315874554066134
49518	2304	456.3989255428314	123.63	155.0	102.04252291281347	281.0	-38.0	1.1550831222745328	2.113924893553534
50000	2337	462.61334896087646	137.275	169.5	100.33831903281845	285.0	-112.0	1.127355453254273	2.0654857784844376
50500	2368	468.885014295578	110.275	139.5	106.43826802187965	279.0	-124.0	1.1646159302939938	2.0967442131243725
51013	2398	471.6396894454956	124.34	155.0	109.42482975465016	277.0	-122.0	1.186084146598211	2.0553818416403034
51504	2431	474.2518982887268	120.51	143.0	108.19380479946587	281.0	-118.0	0.9918360742226716	2.059628047341655
52008	2460	480.538613319397	117.175	150.5	110.98487549184213	282.0	-128.0	1.1898020549576684	2.0067100671873437
52500	2492	481.14726543426514	134.805	164.5	106.3402001400653	281.0	-122.0	1.1423921295205077	2.0026499403656213
53029	2528	483.66983556747437	130.985	149.0	104.24673464150848	287.0	-120.0	1.1105312966165786	2.0314398713406665
53538	2566	493.8814640045166	122.515	149.0	103.22361818769382	282.0	-114.0	1.1787648953272263	2.0049960009152556
54006	2597	497.18334460258484	117.275	141.0	110.17546250272082	285.0	-118.0	1.2075442689125775	2.0515365257380025
54501	2631	504.2315137386322	122.105	152.5	107.29452244983756	282.0	-120.0	1.2061183566845453	1.8726054916174493
55003	2664	504.99547839164734	111.925	133.5	111.66771137539757	285.0	-126.0	1.1591897212303663	2.0176306430512225
55500	2703	512.6679825782776	112.285	132.0	111.06294912499716	279.0	-136.0	1.1518931147065272	1.9868660883669873
56019	2736	516.975328207016	121.77	151.0	109.65183410968596	285.0	-122.0	1.2013506868688884	1.8054141815857327
57002	2812	524.0837306976318	128.045	158.0	107.24748524069113	282.0	-132.0	1.203795673405326	1.8875611036982822
56531	2776	524.2920753955841	117.755	153.5	109.67285741361138	282.0	-124.0	1.0254848584020393	2.0123636295024143
58001	2890	527.195582151413	129.33	159.5	112.04576012419678	282.0	-124.0	1.137417358060987	1.956581496380318
